racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
6,6,,0,,,gained_position,false,,,,3457360
87,7,,0,,,lost_position,false,,,,3457360
6,,4.492,0,1.386,,,false,,,,3457443
87,,4.668,0,0.176,,,false,,,,3457636
43,,5.073,0,0.405,,,false,,,,3458017
12,,0.851,0,0.851,,,false,,,,3458040
41,,5.652,0,0.579,,,false,,,,3458576
16,,1.626,0,0.775,,,false,,,,3458819
30,,5.945,0,0.293,,,false,,,,3458864
14,,6.476,0,0.531,,,false,,,,3459403
63,,2.347,0,0.721,,,false,,,,3459553
31,,6.76,0,0.284,,,false,,,,3459676
55,,7.311,0,0.551,,,false,,,,3460218
10,,3.104,0,0.757,,,false,,,,3460301
3,,7.613,0,0.302,,,false,,,,3460552
77,,8.027,0,0.414,,,false,,,,3460930
27,,8.503,0,0.476,,,false,,,,3461442
18,,,0,0.469,,,false,,,,3461876
6,,,0,,,neutral,false,,,,3462347
87,,,0,,,neutral,false,,,,3462351
12,,0.756,0,0.756,,,false,,,,3462533
11,,15.145,0,6.173,,,false,,,,3462586
6,7,,0,,,lost_position,false,,,,3462713
87,8,,0,,,lost_position,false,,,,3462713
43,6,,0,,,gained_position,false,,,,3462713
43,,5.606,0,2.502,,,false,,,,3462796
6,8,,0,,,,false,,,,3463030
87,9,,0,,,,false,,,,3463030
41,7,,0,,,gained_position,false,,,,3463030
41,,5.907,0,0.301,,,false,,,,3463102
6,9,,0,,,,false,,,,3463142
87,10,,0,,,,false,,,,3463142
30,8,,0,,,gained_position,false,,,,3463142
30,,6.028,0,0.121,,,false,,,,3463238
16,,1.535,0,0.779,,,false,,,,3463306
6,10,,0,,,,false,,,,3463762
87,11,,0,,,,false,,,,3463762
14,9,,0,,,gained_position,false,,,,3463762
14,,6.655,0,0.627,,,false,,,,3463851
63,,2.294,0,0.759,,,false,,,,3464029
6,11,,0,,,,false,,,,3464067
87,12,,0,,,,false,,,,3464067
31,10,,0,,,gained_position,false,,,,3464067
6,12,,0,,,,false,,,,3464104
87,11,,0,,,gained_position,false,,,,3464104
31,,6.887,0,0.232,,,false,,,,3464144
87,,6.909,0,0.022,,,false,,,,3464188
6,13,,0,,,,false,,,,3464476
55,12,,0,,,gained_position,false,,,,3464476
55,,7.34,0,0.431,,,false,,,,3464566
10,,2.994,0,0.7,,,false,,,,3464777
3,13,,0,,,gained_position,false,,,,3464855
6,14,,0,,,,false,,,,3464855
3,,7.777,0,0.437,,,false,,,,3464941
6,15,,0,,,,false,,,,3465313
77,14,,0,,,gained_position,false,,,,3465313
77,,8.209,0,0.432,,,false,,,,3465396
6,16,,0,,,,false,,,,3465696
27,15,,0,,,gained_position,false,,,,3465696
27,,8.613,0,0.404,,,false,,,,3465792
12,,0.616,0,0.616,,,false,,,,3466117
6,17,,0,,,,false,,,,3466266
18,16,,0,,,gained_position,false,,,,3466266
18,,9.213,0,0.6,,,false,,,,3466354
16,,1.415,0,0.799,,,false,,,,3466905
43,,5.613,0,2.619,,,false,,,,3467395
